N_atomico,Elemento,Nombre,Masa,Periodo,Grupo,Estructura,Conf_electronica,Descubrimiento,Densidad,s,p,d,f,elementmend,mendnumber,Structurenumber,val,AtomicRadius,FIE,TC,EC
1,H,Hidrogeno,1.007,1,1,Hexagonal, 1s1,1766,0.0899,1,0,0,0,He,1,1,1,0.53,13.6,0.001815,0
2,He,Helio,4.002,1,18,Hexagonal, 1s2,1895,0.1785,2,0,0,0,Ne,2,1,2,0.31,24.59,0.00152,0
3,Li,Litio,6.941,2,1,Cubica centrada en el cuerpo, He  2s1,1817,535,3,0,0,0,Ar,3,2,1,1.67,5.39,0.847,11000000
4,Be,Berilio,9.012,2,2,Cubica simple, He  2s2,1797,1848,4,0,0,0,Kr,4,3,2,1.12,9.32,2.01,25000000
5,B,Boro,10.81,2,13,Romboedrica, He  2s2 2p1 ,1808,2460,4,1,0,0,Xe,5,4,3,0.87,8.3,0.274,0.0001
6,C,Carbono,12.01,2,14,Hexagonal, He  2s2 2p2,Prehistoria,2267,4,2,0,0,Rn,6,1,4,0.67,11.26,1.29,100000
7,N,Nitrogeno,14,2,15,Hexagonal, He  2s2 2p3,1772,1.2506,4,3,0,0,Fr,7,1,5,0.56,14.53,0.0002598,0
8,O,Oxigeno,15.99,2,16,Cubica simple, He  2s2 2p4,1774,1429,4,4,0,0,Cs,8,3,6,0.48,13.62,0.0002674,0
9,F,Fluor,18.99,2,17,Cubica simple, He  2s2 2p5 ,1886,1696,4,5,0,0,Rb,9,3,7,0.42,17.42,0.000279,0
10,Ne,Neon,20.17,2,18,Cubica centrada en caras, He  2s2 2p6 ,1898,0.8999,4,6,0,0,K,10,5,8,0.38,21.56,0.000493,0
11,Na,Sodio,22.98,3,1,Cubica centrada en el cuerpo, Ne  3s1 ,1807,968,5,6,0,0,Na,11,2,1,1.9,5.14,1.41,21000000
12,Mg,Magnesio,24.3,3,2,Hexagonal, Ne  3s2 ,1755,1738,6,6,0,0,Li,12,1,2,1.45,7.65,1.56,23000000
13,Al,Aluminio,26.98,3,13,Cubica centrada en caras, Ne  3s2 3p1 ,1825,2698.4,6,7,0,0,Ra,13,5,3,1.18,5.99,2.37,38000000
14,Si,Silicio,28.08,3,14,Cubica centrada en caras, Ne  3s2 3p2 ,1824,2.33,6,8,0,0,Ba,14,5,4,1.11,8.15,1.48,1000
15,P,Fosforo,30.97,3,15,Cubica simple, Ne  3s2 3p3 ,1669,1823,6,9,0,0,Sr,15,3,5,0.98,10.49,0.00235,10000000
16,S,Azufre,32.06,3,16,Cubica centrada en caras, Ne  3s2 3p4 ,Prehistoria,1960,6,10,0,0,Ca,16,5,6,0.88,10.36,0.00269,1E-15
17,Cl,Cloro,35.45,3,17,Ortorrombica centrada en las bases, Ne  3s2 3p5 ,1774,3214,6,11,0,0,Eu,17,6,7,0.79,12.97,0.000089,0.01
18,Ar,Argon,39.94,3,18,Cubica centrada en caras, Ne  3s2 3p6 ,1894,1784,6,12,0,0,Yb,18,5,8,0.71,15.76,0.0001772,0
19,K,Potasio,39.09,4,1,Cubica centrada en caras, Ar  4s1 ,1807,856,7,12,0,0,Lu,19,5,1,2.43,4.34,1.024,14000000
20,Ca,Calcio,40.07,4,2,Cubica centrada en caras, Ar  4s1 ,1808,1550,7,12,0,0,Tm,20,5,2,1.94,6.11,2.01,29000000
21,Sc,Escandio,44.95,4,3,Hexagonal, Ar  3d1 4s2 ,1879,2985,8,12,1,0,Y,21,1,3,1.84,6.56,0.158,1800000
22,Ti,Titanio,47.86,4,4,Hexagonal, Ar  3d2 4s2 ,1791,4507,8,12,2,0,Er,22,1,4,1.76,6.83,0.219,2500000
23,V,Vanadio,50.94,4,5,Cubica centrada en el cuerpo, Ar  3d3 4s2 ,1801,6110,8,12,3,0,Ho,23,2,5,1.71,6.75,0.307,5000000
24,Cr,Cromo,51.99,4,6,Cubica centrada en el cuerpo, Ar  3d5 4s1 ,1797,7140,7,12,4,0,Dy,24,2,6,1.66,6.77,0.937,7900000
25,Mn,Manganeso,54.93,4,7,Cubica centrada en el cuerpo, Ar  3d5 4s2 ,1774,7430,8,12,5,0,Tb,25,2,7,1.61,7.43,0.0782,620000
26,Fe,Hierro,55.84,4,8,Cubica centrada en el cuerpo, Ar  3d6 4s2 ,Prehistoria,7874,8,12,6,0,Gd,26,2,8,1.56,7.9,0.802,10000000
27,Co,Cobalto,58.93,4,9,Cubica centrada en caras, Ar  3d7 4s2 ,1735,8900,8,12,7,0,Sm,27,5,9,1.52,7.88,1,17000000
28,Ni,Niquel,58.69,4,10,Cubica centrada en caras, Ar  3d8 4s2 ,1751,8908,8,12,8,0,Pm,28,5,10,1.49,7.64,0.907,14000000
29,Cu,Cobre,63.54,4,11,Cubica centrada en caras, Ar  3d10 4s1 ,Prehistoria,8960,7,12,10,0,Nd,29,5,11,1.45,7.73,4.01,59000000
30,Zn,Zinc,65.4,4,12,Hexagonal, Ar  3d10 4s2 ,Prehistoria,7140,8,12,10,0,Pr,30,1,12,1.42,9.39,1.16,17000000
31,Ga,Galio,69.72,4,13,Ortorrombica centrada en las bases, Ar  3d10 4s2 4p1 ,1875,5904,8,13,10,0,Ce,31,6,3,1.36,6,0.406,7100000
32,Ge,Germanio,72.64,4,14,Cubica centrada en las caras, Ar  3d10 4s2 4p2 ,1886,5323,8,14,10,0,La,32,5,4,1.25,7.9,0.599,2000
33,As,Arsenico,74.92,4,15,Romboedrica, Ar  3d10 4s2 4p3 ,1250,5727,8,15,10,0,Ac,33,4,5,1.14,9.79,0.502,3300000
34,Se,Selenio,78.96,4,16,Hexagonal, Ar  3d10 4s2 4p4 ,1817,4790,8,16,10,0,Th,34,1,6,1.03,9.75,0.0204,0
35,Br,Bromo,79.9,4,17,Ortorrombica centrada en las bases, Ar  3d10 4s2 4p5 ,1826,3119,8,17,10,0,Pa,35,6,7,0.94,11.81,0.00122,1E-10
36,Kr,Kripton,83.79,4,18,Cubica centrada en las caras, Ar  3d10 4s2 4p6 ,1898,3708,8,18,10,0,U,36,5,8,0.88,14,0.0000949,0
37,Rb,Rubidio,85.46,5,1,Cubica centrada en el cuerpo, Kr  5s1 ,1861,1532,9,18,10,0,Np,37,2,1,2.65,4.18,0.582,8300000
